class_id   precision recall    f1-score  support
   0       0.74      0.92      0.82        25
   1       0.94      0.94      0.94        34
  10       1.00      1.00      1.00        51
  11       1.00      1.00      1.00       102
  12       1.00      1.00      1.00        97
  13       1.00      1.00      1.00        49
  14       1.00      1.00      1.00        49
  15       0.98      1.00      0.99        51
  16       0.98      0.98      0.98        51
  17       0.99      0.99      0.99       172
  18       1.00      1.00      1.00        62
  19       1.00      1.00      1.00        56
   2       1.00      1.00      1.00        26
  20       1.00      1.00      1.00        95
  21       1.00      0.99      1.00       118
  22       1.00      0.98      0.99        65
  23       0.99      0.99      0.99        80
  24       0.99      0.99      0.99        73
  25       0.57      0.90      0.70       110
  26       0.73      0.29      0.41       104
  27       1.00      1.00      1.00       104
  28       1.00      1.00      1.00        68
  29       1.00      1.00      1.00       374
   3       1.00      0.82      0.90        34
  30       1.00      1.00      1.00        66
  31       0.99      1.00      1.00       112
  32       0.97      1.00      0.98        61
  33       1.00      0.97      0.98        61
  34       0.73      0.67      0.70        61
  35       0.67      0.75      0.71        61
  36       1.00      1.00      1.00        61
  37       0.95      0.33      0.49        61
  38       0.60      0.97      0.74        66
  39       0.98      1.00      0.99        61
   4       1.00      1.00      1.00        34
  40       0.88      0.59      0.71        61
  41       0.55      0.86      0.67        35
  42       0.88      0.28      0.42        25
  43       0.62      0.96      0.75        25
  44       1.00      1.00      1.00        25
  45       1.00      1.00      1.00        26
  46       1.00      1.00      1.00        25
  47       1.00      1.00      1.00        30
  48       1.00      1.00      1.00        26
  49       1.00      1.00      1.00        50
   5       1.00      0.94      0.97        17
  50       1.00      1.00      1.00        49
  51       0.74      0.53      0.62        49
  52       0.62      0.82      0.71        44
  53       0.86      0.96      0.91        25
  54       0.92      0.85      0.88        26
  55       0.97      1.00      0.98        30
  56       0.48      0.77      0.59        26
  57       0.44      0.15      0.23        26
  58       0.93      0.96      0.94        26
  59       1.00      0.96      0.98        25
   6       1.00      1.00      1.00        17
  60       1.00      0.96      0.98        26
  61       1.00      0.96      0.98        25
  62       0.89      1.00      0.94        25
  63       1.00      1.00      1.00        25
  64       1.00      1.00      1.00        25
  65       1.00      0.92      0.96        26
  66       1.00      1.00      1.00        26
  67       1.00      1.00      1.00        26
  68       1.00      1.00      1.00        25
  69       1.00      1.00      1.00        26
   7       1.00      1.00      1.00        17
  70       0.59      0.80      0.68        25
  71       0.71      0.46      0.56        26
  72       0.96      1.00      0.98        25
  73       1.00      1.00      1.00        26
  74       1.00      0.96      0.98        25
  75       1.00      1.00      1.00        25
  76       1.00      1.00      1.00        26
  77       1.00      1.00      1.00        26
  78       1.00      1.00      1.00        25
  79       1.00      1.00      1.00        26
   8       1.00      1.00      1.00        17
  80       1.00      1.00      1.00        25
  81       1.00      1.00      1.00        26
  82       1.00      1.00      1.00        26
  83       1.00      1.00      1.00        26
  84       1.00      1.00      1.00        25
  85       1.00      0.96      0.98        26
  86       1.00      1.00      1.00        26
  87       1.00      1.00      1.00        25
  88       1.00      1.00      1.00        26
  89       1.00      1.00      1.00        26
   9       1.00      1.00      1.00        17
  90       1.00      1.00      1.00        25
