class_id   precision recall    f1-score  support
   0       0.45      0.20      0.28        25
   1       0.58      1.00      0.73        34
  10       1.00      1.00      1.00        51
  11       1.00      1.00      1.00       102
  12       0.99      1.00      0.99        97
  13       1.00      1.00      1.00        49
  14       1.00      1.00      1.00        49
  15       0.98      1.00      0.99        51
  16       0.98      0.98      0.98        51
  17       0.99      0.99      0.99       172
  18       1.00      1.00      1.00        62
  19       1.00      0.98      0.99        56
   2       1.00      0.88      0.94        26
  20       1.00      1.00      1.00        95
  21       0.99      0.99      0.99       118
  22       0.98      0.98      0.98        65
  23       1.00      0.99      0.99        80
  24       0.99      1.00      0.99        73
  25       0.57      0.75      0.65       110
  26       0.61      0.41      0.49       104
  27       1.00      1.00      1.00       104
  28       1.00      1.00      1.00        68
  29       1.00      1.00      1.00       374
   3       1.00      0.76      0.87        34
  30       0.99      1.00      0.99        66
  31       0.99      1.00      1.00       112
  32       0.97      1.00      0.98        61
  33       1.00      0.97      0.98        61
  34       0.68      0.67      0.68        61
  35       0.69      0.69      0.69        61
  36       1.00      1.00      1.00        61
  37       0.92      0.36      0.52        61
  38       0.61      0.95      0.75        66
  39       0.98      1.00      0.99        61
   4       1.00      0.97      0.99        34
  40       0.82      0.90      0.86        61
  41       0.85      0.66      0.74        35
  42       0.50      0.32      0.39        25
  43       0.46      0.64      0.53        25
  44       1.00      0.96      0.98        25
  45       1.00      1.00      1.00        26
  46       1.00      1.00      1.00        25
  47       1.00      1.00      1.00        30
  48       1.00      1.00      1.00        26
  49       0.98      1.00      0.99        50
   5       1.00      1.00      1.00        17
  50       1.00      1.00      1.00        49
  51       0.61      0.73      0.67        49
  52       0.66      0.52      0.58        44
  53       0.88      0.92      0.90        25
  54       0.92      0.88      0.90        26
  55       1.00      0.93      0.97        30
  56       0.41      0.46      0.44        26
  57       0.44      0.42      0.43        26
  58       0.96      0.96      0.96        26
  59       1.00      0.96      0.98        25
   6       1.00      1.00      1.00        17
  60       1.00      1.00      1.00        26
  61       1.00      0.96      0.98        25
  62       1.00      0.92      0.96        25
  63       1.00      1.00      1.00        25
  64       0.96      1.00      0.98        25
  65       1.00      0.88      0.94        26
  66       1.00      1.00      1.00        26
  67       1.00      1.00      1.00        26
  68       0.78      1.00      0.88        25
  69       1.00      0.58      0.73        26
   7       1.00      1.00      1.00        17
  70       0.65      0.52      0.58        25
  71       0.57      0.88      0.70        26
  72       1.00      1.00      1.00        25
  73       1.00      0.81      0.89        26
  74       1.00      0.96      0.98        25
  75       0.82      0.92      0.87        25
  76       0.92      0.92      0.92        26
  77       1.00      1.00      1.00        26
  78       1.00      1.00      1.00        25
  79       1.00      0.96      0.98        26
   8       1.00      1.00      1.00        17
  80       1.00      1.00      1.00        25
  81       1.00      1.00      1.00        26
  82       1.00      1.00      1.00        26
  83       0.96      1.00      0.98        26
  84       0.96      1.00      0.98        25
  85       0.93      1.00      0.96        26
  86       1.00      1.00      1.00        26
  87       1.00      0.96      0.98        25
  88       1.00      1.00      1.00        26
  89       1.00      1.00      1.00        26
   9       1.00      1.00      1.00        17
  90       1.00      0.96      0.98        25
